===== [Stage 1] 角色判定（并发=10）=====
[role] 强化学习 -> core | ok=True attempts=1 fallback=False
[role] 基于目标的智能体 -> core | ok=True attempts=1 fallback=False
[role] 大语言模型 -> core | ok=True attempts=1 fallback=False
[role] 预训练语言模型 -> core | ok=True attempts=1 fallback=False
[role] 简单反射智能体 -> core | ok=True attempts=1 fallback=False
[role] 学习型智能体 -> core | ok=True attempts=1 fallback=False
[role] 效用函数 -> core | ok=True attempts=1 fallback=False
[role] 基于模型的智能体 -> core | ok=True attempts=1 fallback=False
[role] AlphaGo -> core | ok=True attempts=1 fallback=False
[role] 基于效用的智能体 -> core | ok=True attempts=1 fallback=False
[role] 涌现能力 -> core | ok=True attempts=1 fallback=False
[role] 隐式世界模型 -> core | ok=True attempts=1 fallback=False
[role] 任务分解 -> core | ok=True attempts=1 fallback=False
[role] 行动 -> core | ok=True attempts=1 fallback=False
[role] 智能旅行助手 -> core | ok=True attempts=1 fallback=False
[role] 用户反馈 -> core | ok=True attempts=1 fallback=False
[role] 自主规划 -> core | ok=True attempts=1 fallback=False
[role] 自然语言指令 -> core | ok=True attempts=1 fallback=False
[role] 专用工具 -> core | ok=True attempts=1 fallback=False
[role] 部分可观察性 -> core | ok=True attempts=1 fallback=False
[role] 外部工具 -> core | ok=True attempts=1 fallback=False
[role] 通用问题解决者 -> core | ok=True attempts=1 fallback=False
[role] 智能体 -> core | ok=True attempts=1 fallback=False
[role] 人工编码 -> non-core | ok=True attempts=1 fallback=False
[role] 学习 -> core | ok=True attempts=1 fallback=False
[role] PEAS模型 -> core | ok=True attempts=1 fallback=False
[role] 感知-思考-行动-观察循环 -> core | ok=True attempts=1 fallback=False
[role] 多智能体交互 -> core | ok=True attempts=1 fallback=False
[role] 不确定性 -> core | ok=True attempts=1 fallback=False
[role] 端到端行程规划 -> core | ok=True attempts=1 fallback=False
[role] 思考 -> core | ok=True attempts=1 fallback=False
[role] 序贯动态 -> core | ok=True attempts=1 fallback=False
[role] OpenAI -> non-core | ok=True attempts=1 fallback=False
[role] 感知 -> core | ok=True attempts=1 fallback=False
[role] 自主行为 -> core | ok=True attempts=1 fallback=False
[role] 观察 -> core | ok=True attempts=1 fallback=False
[role] Tavily-Dvthon -> non-core | ok=True attempts=1 fallback=False
[role] 智能体循环 -> core | ok=True attempts=1 fallback=False
[role] 规划 -> core | ok=True attempts=1 fallback=False
[role] requests库 -> core | ok=True attempts=1 fallback=False
[role] formatted_results列表 -> non-core | ok=True attempts=1 fallback=False
[role] 环境状态变化 -> non-core | ok=True attempts=1 fallback=False
[role] VLLM -> non-core | ok=True attempts=1 fallback=False
[role] openAICompatibleClient -> core | ok=True attempts=1 fallback=False
[role] API_KEY -> non-core | ok=True attempts=1 fallback=False
[role] Ollama -> non-core | ok=True attempts=1 fallback=False
[role] get_attraction函数 -> non-core | ok=True attempts=1 fallback=False
[role] generate方法 -> non-core | ok=True attempts=1 fallback=False
[role] 工具选择 -> core | ok=True attempts=1 fallback=False
[role] LLM服务提供商 -> non-core | ok=True attempts=1 fallback=False
[role] Azure -> non-core | ok=True attempts=1 fallback=False
[role] 提示工程 -> core | ok=True attempts=1 fallback=False
[role] 错误信息 -> non-core | ok=True attempts=1 fallback=False
[role] BASE_URL -> non-core | ok=True attempts=1 fallback=False
[role] 消息格式 -> non-core | ok=True attempts=1 fallback=False
[role] Prompt -> core | ok=True attempts=1 fallback=False
[role] MODEL_ID -> non-core | ok=True attempts=1 fallback=False
[role] 工具 -> core | ok=True attempts=1 fallback=False
[role] 主循环 -> core | ok=True attempts=1 fallback=False
[role] LLM -> core | ok=True attempts=1 fallback=False
[role] 智能系统 -> core | ok=True attempts=1 fallback=False
[role] Llamalndex -> core | ok=True attempts=1 fallback=False
[role] GitHub Copilot -> core | ok=True attempts=1 fallback=False
[role] 自主决策 -> core | ok=True attempts=1 fallback=False
[role] 软件开发 -> core | ok=True attempts=1 fallback=False
[role] LangChain -> core | ok=True attempts=1 fallback=False
[role] 任务执行 -> core | ok=True attempts=1 fallback=False
[role] Claude Code -> non-core | ok=True attempts=1 fallback=False
[role] AI原生编辑器 -> core | ok=True attempts=1 fallback=False
[role] Trae -> non-core | ok=True attempts=1 fallback=False
[role] 代码补全 -> core | ok=True attempts=1 fallback=False
[role] Cursor -> core | ok=True attempts=1 fallback=False
[role] 深度学习分析 -> core | ok=True attempts=1 fallback=False
[role] 人机协同编程 -> core | ok=True attempts=1 fallback=False
[role] 智能化 -> core | ok=True attempts=1 fallback=False
[role] 高级控制流架构 -> core | ok=True attempts=1 fallback=False
[role] AgentGPT -> core | ok=True attempts=1 fallback=False
[role] 高效 -> non-core | ok=True attempts=1 fallback=False
[role] 自主协作者 -> core | ok=True attempts=1 fallback=False
[role] 单智能体自主循环 -> core | ok=True attempts=1 fallback=False
[role] 无约束智能体 -> core | ok=True attempts=1 fallback=False
[role] MetaGPT -> core | ok=True attempts=1 fallback=False
[role] 闭环流程 -> core | ok=True attempts=1 fallback=False
[role] 状态图建模 -> core | ok=True attempts=1 fallback=False
[role] 目标委托 -> core | ok=True attempts=1 fallback=False
[role] LangGraph -> core | ok=True attempts=1 fallback=False
[role] CrewAI -> core | ok=True attempts=1 fallback=False
[role] 符号主义 -> core | ok=True attempts=1 fallback=False
[role] 多智能体协作 -> core | ok=True attempts=1 fallback=False
[role] 工具调用 -> core | ok=True attempts=1 fallback=False
[role] 高级控制流 -> non-core | ok=True attempts=1 fallback=False
[role] 物理符号系统 -> core | ok=True attempts=1 fallback=False
[role] 综合评估体系 -> core | ok=True attempts=1 fallback=False
[role] 感知-思考-行动-观察 -> core | ok=True attempts=1 fallback=False
[role] 神经符号主义AI -> core | ok=True attempts=1 fallback=False
[role] 亚符号主义 -> core | ok=True attempts=1 fallback=False
[role] 专家系统 -> core | ok=True attempts=1 fallback=False
[role] 单智能体闭环 -> non-core | ok=True attempts=1 fallback=False
[role] 行为调整 -> non-core | ok=True attempts=1 fallback=False
[role] 知识库 -> core | ok=True attempts=1 fallback=False
[role] 复杂任务 -> core | ok=True attempts=1 fallback=False
[role] 自动规划 -> core | ok=True attempts=1 fallback=False
[role] 开发者工具 -> core | ok=True attempts=1 fallback=False
[role] 反向链 -> core | ok=True attempts=1 fallback=False
[role] 物理符号系统假说 -> core | ok=True attempts=1 fallback=False
[role] 代码生成 -> non-core | ok=True attempts=1 fallback=False
[role] 置信因子 -> core | ok=True attempts=1 fallback=False
[role] MYCIN系统 -> core | ok=True attempts=1 fallback=False
[role] SHRDLU -> core | ok=True attempts=1 fallback=False
[role] 血液感染诊断 -> core | ok=True attempts=1 fallback=False
[role] 推理机 -> core | ok=True attempts=1 fallback=False
[role] 产生式规则 -> core | ok=True attempts=1 fallback=False
[role] 正向链 -> core | ok=True attempts=1 fallback=False
[role] 语言理解 -> core | ok=True attempts=1 fallback=False
[role] 积木世界 -> core | ok=True attempts=1 fallback=False
[role] 指代消解 -> core | ok=True attempts=1 fallback=False
[role] 行动记忆 -> core | ok=True attempts=1 fallback=False
[role] 自然语言交互 -> core | ok=True attempts=1 fallback=False
[role] 上下文记忆 -> core | ok=True attempts=1 fallback=False
[role] 特里·威诺格拉德 -> non-core | ok=True attempts=1 fallback=False
[role] 感知-思考-行动闭环 -> core | ok=True attempts=1 fallback=False
[role] 多维度问答 -> core | ok=True attempts=1 fallback=False
[role] 环境状态记忆 -> core | ok=True attempts=1 fallback=False
[role] 转换规则 -> core | ok=True attempts=1 fallback=False
[role] 符号处理 -> core | ok=True attempts=1 fallback=False
[role] 动作序列规划 -> core | ok=True attempts=1 fallback=False
[role] 关键词识别 -> core | ok=True attempts=1 fallback=False
[role] ELIZA -> core | ok=True attempts=1 fallback=False
[role] 通用人工智能 -> core | ok=True attempts=1 fallback=False
[role] 约瑟夫·魏泽鲍姆 -> core | ok=True attempts=1 fallback=False
[role] 情感依赖 -> core | ok=True attempts=1 fallback=False
[role] 罗杰斯学派 -> core | ok=True attempts=1 fallback=False
[role] DOCTOR -> core | ok=True attempts=1 fallback=False
[role] 人工智能 -> core | ok=True attempts=1 fallback=False
[role] 规则驱动方法 -> core | ok=True attempts=1 fallback=False
[role] 交互设计 -> core | ok=True attempts=1 fallback=False
[role] 模式匹配 -> core | ok=True attempts=1 fallback=False
[role] 带通配符的分解规则 -> non-core | ok=True attempts=1 fallback=False
[role] 开放式问题 -> core | ok=True attempts=1 fallback=False
[role] 重组规则 -> core | ok=True attempts=1 fallback=False
[role] 代词转换 -> core | ok=True attempts=1 fallback=False
[role] 文本替换 -> core | ok=True attempts=1 fallback=False
[role] 明斯基 -> core | ok=True attempts=1 fallback=False
[role] 统一逻辑框架 -> core | ok=True attempts=1 fallback=False
[role] 规则选择 -> core | ok=True attempts=1 fallback=False
[role] 单一整体智能模型 -> core | ok=True attempts=1 fallback=False
[role] 自然语言处理 -> core | ok=True attempts=1 fallback=False
[role] 自上而下处理 -> core | ok=True attempts=1 fallback=False
[role] 社会 -> core | ok=True attempts=1 fallback=False
[role] 简单机制 -> core | ok=True attempts=1 fallback=False
[role] 机构 -> core | ok=True attempts=1 fallback=False
[role] 规则匹配 -> core | ok=True attempts=1 fallback=False
[role] 局部交互 -> core | ok=True attempts=1 fallback=False
[role] 多样化的心智活动 -> core | ok=True attempts=1 fallback=False
[role] 连接权重 -> core | ok=True attempts=1 fallback=False
[role] 层级分明的整体结构 -> core | ok=True attempts=1 fallback=False
[role] 学习过程 -> core | ok=True attempts=1 fallback=False
[role] 搭塔 -> core | ok=True attempts=1 fallback=False
[role] 神经网络结构 -> core | ok=True attempts=1 fallback=False
[role] 反向传播 -> core | ok=True attempts=1 fallback=False
[role] 联结主义 -> core | ok=True attempts=1 fallback=False
[role] 序贯决策问题 -> core | ok=True attempts=1 fallback=False
[role] 自组织特性 -> core | ok=True attempts=1 fallback=False
[role] 状态 -> core | ok=True attempts=1 fallback=False
[role] 预训练 -> core | ok=True attempts=1 fallback=False
[role] 大规模通用语料库 -> core | ok=True attempts=1 fallback=False
[role] 非线性 -> core | ok=True attempts=1 fallback=False
[role] 自监督学习 -> core | ok=True attempts=1 fallback=False
[role] 环境 -> core | ok=True attempts=1 fallback=False
[role] 回报 -> core | ok=True attempts=1 fallback=False
[role] 微调 -> core | ok=True attempts=1 fallback=False
[role] 上下文学习 -> core | ok=True attempts=1 fallback=False
[role] 感知-行动闭环 -> core | ok=True attempts=1 fallback=False
[role] 世界知识隐式模型 -> core | ok=True attempts=1 fallback=False
[role] 思考阶段 -> core | ok=True attempts=1 fallback=False
[role] 思维链推理 -> core | ok=True attempts=1 fallback=False
[role] 感知模块 -> core | ok=True attempts=1 fallback=False
[role] 规划模块 -> core | ok=True attempts=1 fallback=False
[role] 大型语言模型 -> core | ok=True attempts=1 fallback=False
[role] 执行模块 -> core | ok=True attempts=1 fallback=False
[role] 通用推理功能 -> core | ok=True attempts=1 fallback=False
[role] LLM驱动的智能体 -> core | ok=True attempts=1 fallback=False
[role] get_weather函数 -> non-core | ok=True attempts=1 fallback=False
[role] 模块化协作 -> core | ok=True attempts=1 fallback=False
[role] 自主执行 -> core | ok=True attempts=1 fallback=False
[role] 持续迭代 -> core | ok=True attempts=1 fallback=False
[role] 符号主义AI -> core | ok=True attempts=1 fallback=False
[role] 最大似然估计 -> core | ok=True attempts=1 fallback=False
[role] 多智能体系统 -> core | ok=True attempts=1 fallback=False
[role] 感知-思考-行动 -> core | ok=True attempts=1 fallback=False
[role] 自主感知 -> core | ok=True attempts=1 fallback=False
[role] 心智社会 -> core | ok=True attempts=1 fallback=False
[role] 语言模型 -> core | ok=True attempts=1 fallback=False
[role] 链式法则 -> core | ok=True attempts=1 fallback=False
[role] 奖励 -> core | ok=True attempts=1 fallback=False
[role] N-gram -> core | ok=True attempts=1 fallback=False
[role] 循环神经网络 -> core | ok=True attempts=1 fallback=False
[role] 长短时记忆网络 -> core | ok=True attempts=1 fallback=False
[role] 神经网络语言模型 -> core | ok=True attempts=1 fallback=False
[role] 词嵌入 -> core | ok=True attempts=1 fallback=False
[role] 梯度爆炸 -> core | ok=True attempts=1 fallback=False
[role] 细胞状态 -> core | ok=True attempts=1 fallback=False
[role] 梯度消失 -> core | ok=True attempts=1 fallback=False
[role] 预训练与微调范式 -> core | ok=True attempts=1 fallback=False
[role] 词元 -> core | ok=True attempts=1 fallback=False
[role] 注意力机制 -> core | ok=True attempts=1 fallback=False
[role] Transformer模型 -> core | ok=True attempts=1 fallback=False
[role] 多头注意力机制 -> core | ok=True attempts=1 fallback=False
[role] 门控机制 -> core | ok=True attempts=1 fallback=False
[role] 全局依赖关系 -> core | ok=True attempts=1 fallback=False
[role] 序列数据 -> core | ok=True attempts=1 fallback=False
[role] 语义理解 -> core | ok=True attempts=1 fallback=False
[role] 线性变换 -> core | ok=True attempts=1 fallback=False
[role] 键向量 -> core | ok=True attempts=1 fallback=False
[role] 并行计算 -> core | ok=True attempts=1 fallback=False
[role] 查询向量 -> core | ok=True attempts=1 fallback=False
[role] 值向量 -> core | ok=True attempts=1 fallback=False
[role] 自注意力机制 -> core | ok=True attempts=1 fallback=False
===== [Stage 2] 选择父 core 并保证覆盖所有 non-core =====
non-core 总数=26，已分配父=26
===== [Stage 3] 关系类型判定（并发=10）并写边 =====
[edge] 智能体 -> 行为调整 (related) | removed_horizontal=2
[edge] 智能体 -> 单智能体闭环 (related) | removed_horizontal=2
[edge] 智能体 -> 代码生成 (related) | removed_horizontal=2
[edge] 智能体 -> 高级控制流 (related) | removed_horizontal=2
[edge] 大语言模型 -> 人工编码 (applies-to) | removed_horizontal=2
[edge] 自然语言指令 -> 高效 (related) | removed_horizontal=2
[edge] 自然语言指令 -> Trae (related) | removed_horizontal=2
[edge] 自然语言指令 -> Claude Code (applies-to) | removed_horizontal=2
[edge] 智能体 -> 特里·威诺格拉德 (related) | removed_horizontal=2
[edge] requests库 -> OpenAI (related) | removed_horizontal=2
[edge] openAICompatibleClient -> BASE_URL (applies-to) | removed_horizontal=2
[edge] openAICompatibleClient -> Azure (applies-to) | removed_horizontal=2
[edge] requests库 -> get_attraction函数 (applies-to) | removed_horizontal=2
[edge] requests库 -> get_weather函数 (applies-to) | removed_horizontal=2
[edge] openAICompatibleClient -> MODEL_ID (related) | removed_horizontal=2
[edge] openAICompatibleClient -> Ollama (related) | removed_horizontal=2
[edge] openAICompatibleClient -> generate方法 (applies-to) | removed_horizontal=2
[edge] requests库 -> formatted_results列表 (applies-to) | removed_horizontal=2
[edge] 行动 -> 环境状态变化 (applies-to) | removed_horizontal=2
[edge] requests库 -> Tavily-Dvthon (related) | removed_horizontal=2
[edge] openAICompatibleClient -> LLM服务提供商 (related) | removed_horizontal=2
[edge] openAICompatibleClient -> VLLM (related) | removed_horizontal=2
[edge] openAICompatibleClient -> 消息格式 (related) | removed_horizontal=2
[edge] openAICompatibleClient -> 错误信息 (related) | removed_horizontal=2
[edge] 关键词识别 -> 带通配符的分解规则 (applies-to) | removed_horizontal=2
[edge] openAICompatibleClient -> API_KEY (applies-to) | removed_horizontal=2
完成，共处理 218 个实体。输出文件：D:\paper_code\TreeKG\src\HiddenKG\output\aggr_entities.json
===== [Stage 1] 角色判定（并发=10）=====
[role] 智能体 -> core | ok=True attempts=1 fallback=False
[role] AlphaGo -> core | ok=True attempts=1 fallback=False
[role] 强化学习 -> core | ok=True attempts=1 fallback=False
[role] 学习型智能体 -> core | ok=True attempts=1 fallback=False
[role] 基于效用的智能体 -> core | ok=True attempts=1 fallback=False
[role] 反射智能体 -> core | ok=True attempts=1 fallback=False
[role] 大语言模型 -> core | ok=True attempts=1 fallback=False
[role] 基于目标的智能体 -> core | ok=True attempts=1 fallback=False
[role] 涌现能力 -> core | ok=True attempts=1 fallback=False
[role] 隐式世界模型 -> core | ok=True attempts=1 fallback=False
[role] 基于模型的反射智能体 -> core | ok=True attempts=1 fallback=False
[role] 自然语言指令 -> core | ok=True attempts=1 fallback=False
[role] 任务分解 -> core | ok=True attempts=1 fallback=False
[role] 效用函数 -> core | ok=True attempts=1 fallback=False
[role] 行程规划 -> core | ok=True attempts=1 fallback=False
[role] 外部工具 -> non-core | ok=True attempts=1 fallback=False
[role] 自主规划 -> core | ok=True attempts=1 fallback=False
[role] 系统开发 -> core | ok=True attempts=1 fallback=False
[role] 用户反馈 -> core | ok=True attempts=1 fallback=False
[role] 混合式智能体 -> core | ok=True attempts=1 fallback=False
[role] 智能旅行助手 -> core | ok=True attempts=1 fallback=False
[role] 连接主义AI -> core | ok=True attempts=1 fallback=False
[role] 反应式智能体 -> core | ok=True attempts=1 fallback=False
[role] 大语言模型驱动的智能体 -> core | ok=True attempts=1 fallback=False
[role] 学习 -> core | ok=True attempts=1 fallback=False
[role] 神经符号主义AI -> core | ok=True attempts=1 fallback=False
[role] 效用导向 -> core | ok=True attempts=1 fallback=False
[role] 反应式 -> core | ok=True attempts=1 fallback=False
[role] 符号主义AI -> core | ok=True attempts=1 fallback=False
[role] 人工智能智能体 -> core | ok=True attempts=1 fallback=False
[role] 模型式 -> core | ok=True attempts=1 fallback=False
[role] 目标导向 -> core | ok=True attempts=1 fallback=False
[role] 学习能力 -> core | ok=True attempts=1 fallback=False
[role] 符号操作 -> core | ok=True attempts=1 fallback=False
[role] 逻辑规则 -> core | ok=True attempts=1 fallback=False
[role] 神经网络 -> core | ok=True attempts=1 fallback=False
[role] 逻辑推理能力 -> core | ok=True attempts=1 fallback=False
[role] 数据学习能力 -> core | ok=True attempts=1 fallback=False
[role] 性能度量 -> core | ok=True attempts=1 fallback=False
[role] 环境 -> core | ok=True attempts=1 fallback=False
[role] 规划式智能体 -> core | ok=True attempts=1 fallback=False
[role] PEAS模型 -> core | ok=True attempts=1 fallback=False
[role] 执行器 -> core | ok=True attempts=1 fallback=False
[role] 感知与认知 -> core | ok=True attempts=1 fallback=False
[role] 传感器 -> core | ok=True attempts=1 fallback=False
[role] 部分可观察性 -> core | ok=True attempts=1 fallback=False
[role] 多智能体交互 -> core | ok=True attempts=1 fallback=False
[role] 序贯动态性 -> core | ok=True attempts=1 fallback=False
[role] 感知-思考-行动-观察循环 -> core | ok=True attempts=1 fallback=False
[role] 不确定性 -> core | ok=True attempts=1 fallback=False
[role] 记忆与探索能力 -> core | ok=True attempts=1 fallback=False
[role] 应对其他行动者的影响 -> core | ok=True attempts=1 fallback=False
[role] 思考阶段 -> core | ok=True attempts=1 fallback=False
[role] 智能体循环 -> core | ok=True attempts=1 fallback=False
[role] 及时决策 -> core | ok=True attempts=1 fallback=False
[role] 工具选择 -> core | ok=True attempts=1 fallback=False
[role] 行动阶段 -> core | ok=True attempts=1 fallback=False
[role] 行为与环境状态同步演进 -> core | ok=True attempts=1 fallback=False
[role] 感知阶段 -> core | ok=True attempts=1 fallback=False
[role] 观察 -> core | ok=True attempts=1 fallback=False
[role] 规划 -> core | ok=True attempts=1 fallback=False
[role] Observation -> core | ok=True attempts=1 fallback=False
[role] 任务执行循环 -> core | ok=True attempts=1 fallback=False
[role] 反馈 -> core | ok=True attempts=1 fallback=False
[role] Thought -> core | ok=True attempts=1 fallback=False
[role] 感知系统 -> core | ok=True attempts=1 fallback=False
[role] Action -> core | ok=True attempts=1 fallback=False
[role] 函数调用 -> core | ok=True attempts=1 fallback=False
[role] 环境状态 -> non-core | ok=True attempts=1 fallback=False
[role] Tavily-Dvthon -> non-core | ok=True attempts=1 fallback=False
[role] OpenAI SDK -> non-core | ok=True attempts=1 fallback=False
[role] requests库 -> non-core | ok=True attempts=1 fallback=False
[role] 交互协议 -> core | ok=True attempts=1 fallback=False
[role] 提示工程 -> core | ok=True attempts=1 fallback=False
[role] wttr.in API -> non-core | ok=True attempts=1 fallback=False
[role] 字典 -> non-core | ok=True attempts=1 fallback=False
[role] LLM -> core | ok=True attempts=1 fallback=False
[role] 灵活性 -> core | ok=True attempts=1 fallback=False
[role] Tavily搜索API -> non-core | ok=True attempts=1 fallback=False
[role] 工具函数 -> non-core | ok=True attempts=1 fallback=False
[role] Ollama -> core | ok=True attempts=1 fallback=False
[role] 可维护性 -> non-core | ok=True attempts=1 fallback=False
[role] 模块化 -> non-core | ok=True attempts=1 fallback=False
[role] LLM服务提供商 -> non-core | ok=True attempts=1 fallback=False
[role] openAICompatibleClient -> non-core | ok=True attempts=1 fallback=False
[role] 扩展性 -> non-core | ok=True attempts=1 fallback=False
[role] VLLM -> non-core | ok=True attempts=1 fallback=False
[role] OpenAI -> non-core | ok=True attempts=1 fallback=False
[role] Azure -> non-core | ok=True attempts=1 fallback=False
[role] LLM API -> core | ok=True attempts=1 fallback=False
[role] BASE_URL -> non-core | ok=True attempts=1 fallback=False
[role] API_KEY -> non-core | ok=True attempts=1 fallback=False
[role] MODEL_ID -> non-core | ok=True attempts=1 fallback=False
[role] 消息列表 -> non-core | ok=True attempts=1 fallback=False
[role] 用户提示 -> non-core | ok=True attempts=1 fallback=False
[role] 主循环 -> core | ok=True attempts=1 fallback=False
[role] Prompt -> core | ok=True attempts=1 fallback=False
[role] Llamalndex -> core | ok=True attempts=1 fallback=False
[role] 错误信息 -> non-core | ok=True attempts=1 fallback=False
[role] 生成结果 -> non-core | ok=True attempts=1 fallback=False
[role] LangChain -> core | ok=True attempts=1 fallback=False
[role] 协作模式 -> core | ok=True attempts=1 fallback=False
[role] 高效工具 -> core | ok=True attempts=1 fallback=False
[role] 系统提示 -> non-core | ok=True attempts=1 fallback=False
[role] 结果合成 -> core | ok=True attempts=1 fallback=False
[role] 工具调用 -> core | ok=True attempts=1 fallback=False
[role] 上下文理解 -> core | ok=True attempts=1 fallback=False
[role] 模糊意图 -> core | ok=True attempts=1 fallback=False
[role] 三轮循环 -> non-core | ok=True attempts=1 fallback=False
[role] 工具 -> core | ok=True attempts=1 fallback=False
[role] 自主协作者 -> core | ok=True attempts=1 fallback=False
[role] 适应性 -> core | ok=True attempts=1 fallback=False
[role] 可执行步骤 -> core | ok=True attempts=1 fallback=False
[role] 自主性程度 -> core | ok=True attempts=1 fallback=False
[role] 代码自动补全 -> core | ok=True attempts=1 fallback=False
[role] AI编程辅助工具 -> core | ok=True attempts=1 fallback=False
[role] Cursor -> core | ok=True attempts=1 fallback=False
[role] Trae -> non-core | ok=True attempts=1 fallback=False
[role] 代码建议 -> core | ok=True attempts=1 fallback=False
[role] 代码重构方案 -> core | ok=True attempts=1 fallback=False
[role] GitHub Copilot -> non-core | ok=True attempts=1 fallback=False
[role] 无交互模式 -> non-core | ok=True attempts=1 fallback=False
[role] Claude Code -> non-core | ok=True attempts=1 fallback=False
[role] 对话式编程 -> core | ok=True attempts=1 fallback=False
[role] AI原生编辑器 -> core | ok=True attempts=1 fallback=False
[role] 软件开发全生命周期 -> core | ok=True attempts=1 fallback=False
[role] 深度开发功能 -> non-core | ok=True attempts=1 fallback=False
[role] 人机协同模式 -> core | ok=True attempts=1 fallback=False
[role] 深度学习技术 -> core | ok=True attempts=1 fallback=False
[role] 目标-委托 -> core | ok=True attempts=1 fallback=False
[role] 高级控制流架构 -> core | ok=True attempts=1 fallback=False
[role] CAMEL -> core | ok=True attempts=1 fallback=False
[role] 单智能体自主循环 -> core | ok=True attempts=1 fallback=False
[role] 轻量与快速响应 -> non-core | ok=True attempts=1 fallback=False
[role] AgentGPT -> core | ok=True attempts=1 fallback=False
[role] 多智能体协作 -> core | ok=True attempts=1 fallback=False
[role] CrewAI -> core | ok=True attempts=1 fallback=False
[role] Agent -> core | ok=True attempts=1 fallback=False
[role] 闭环迭代 -> core | ok=True attempts=1 fallback=False
[role] 状态图 -> core | ok=True attempts=1 fallback=False
[role] 用户投诉处理 -> core | ok=True attempts=1 fallback=False
[role] 智能健身教练 -> core | ok=True attempts=1 fallback=False
[role] 系统2 -> core | ok=True attempts=1 fallback=False
[role] 系统1 -> non-core | ok=True attempts=1 fallback=False
[role] 幻觉 -> core | ok=True attempts=1 fallback=False
[role] 循环 -> core | ok=True attempts=1 fallback=False
[role] 评估复杂性 -> core | ok=True attempts=1 fallback=False
[role] 电商退款 -> non-core | ok=True attempts=1 fallback=False
[role] LangGraph -> core | ok=True attempts=1 fallback=False
[role] Workflow -> core | ok=True attempts=1 fallback=False
[role] MetaGPT -> core | ok=True attempts=1 fallback=False
[role] 亚符号主义 -> core | ok=True attempts=1 fallback=False
[role] 准确率 -> core | ok=True attempts=1 fallback=False
[role] 神经符号主义 -> core | ok=True attempts=1 fallback=False
[role] 旅游推荐 -> non-core | ok=True attempts=1 fallback=False
[role] 符号主义 -> core | ok=True attempts=1 fallback=False
[role] 规则驱动 -> core | ok=True attempts=1 fallback=False
[role] 混合智能 -> core | ok=True attempts=1 fallback=False
[role] 多维度标准 -> core | ok=True attempts=1 fallback=False
[role] 数据驱动 -> core | ok=True attempts=1 fallback=False
[role] 符号 -> core | ok=True attempts=1 fallback=False
[role] 通用智能行为 -> core | ok=True attempts=1 fallback=False
[role] 物理符号系统假说 -> core | ok=True attempts=1 fallback=False
[role] 自动规划 -> core | ok=True attempts=1 fallback=False
[role] 专家系统 -> core | ok=True attempts=1 fallback=False
[role] 开发者工具 -> non-core | ok=True attempts=1 fallback=False
[role] 可区分的符号 -> core | ok=True attempts=1 fallback=False
[role] 表达式 -> core | ok=True attempts=1 fallback=False
[role] 操作过程 -> core | ok=True attempts=1 fallback=False
[role] 推理机 -> core | ok=True attempts=1 fallback=False
[role] 创建 -> core | ok=True attempts=1 fallback=False
[role] 正向链 -> core | ok=True attempts=1 fallback=False
[role] 销毁 -> core | ok=True attempts=1 fallback=False
[role] 艾伦·纽厄尔 -> core | ok=True attempts=1 fallback=False
[role] 修改 -> non-core | ok=True attempts=1 fallback=False
[role] 产生式规则 -> core | ok=True attempts=1 fallback=False
[role] MYCIN -> core | ok=True attempts=1 fallback=False
[role] 知识库 -> core | ok=True attempts=1 fallback=False
[role] 赫伯特·西蒙 -> core | ok=True attempts=1 fallback=False
[role] 复制 -> core | ok=True attempts=1 fallback=False
[role] 置信因子 -> core | ok=True attempts=1 fallback=False
[role] 细菌性血液感染 -> non-core | ok=True attempts=1 fallback=False
